uid,Specialization (3),Grad Date (4),Organization (8),Organization Department (9),Position Title (10),Position Type (11),City (12),State (Country) (12),Type of Organization/Industry (14),Employment Responsibilities (16),Most valueable SI skills/experience (22),Coursework relevance (23),Most important skills for job (24),Internship while at SI (25),Level of value from internship (26),Ideal Position (28),Salary
195,MSI/ARM/IP,Apr-09,GMAC Financial Services,Company Records and Information Management,Administrative Assistant,Professional Temporary - Full Time,Detroit,MI,Financial Services/Banking,Digital Preservation/Digital Asset Management/Information Preservation; Records Preservation/Management,"ASB, internships, group projects, and participation in ARMA (a non-SI activity, but professional participation was encouraged by SI)",Somewhat Relevant,"Project management, professional networking, up-to-date knowledge of my field","Yes, GM & State of Michigan Records management Services",Extremely,3,
196,MSI/HCI,Aug-09,Roundarch,User Experience,Information Architect,Professional Permanent- Full Time,New York & Chicago,NY ,Computer: Software/Internet and Consulting,"Consulting, Information Visualization, and Usability (Human Factors Research/Information Architecture/Evaluation Design)","Mark Newman, Lada Adamic, Mick McQuaid, Mark Ackerman, and Paul Resnick",Very relevant,"Usability, psychology, markup/opp principles, and research","Yes, HUGE, Inc",Minimally,7,
202,MSI/PI,Apr-09,University of California,California Digital Library,Mass Digitization Project Specialist,Professional Permanent,Oakland,CA,Library: Academic,"Library Services, Digital Preservation / Digital Asset Management / Information Preservation, Project Management","Project management, digitization cost analysis",Very relevant,"Project management, digitization cost analysis","Yes, Apple, Inc",Moderately,,
224,MSI Tailored,May-09,Oakland University,Kresge Library,Information Literacy and Reference Librarian,Professional Permanent - Full Time,Rochester,MI,Library: Academic,"Library Services (Youth/Adult Services, Cataloging, Children's Services, Collection Development/Acquisition, Indexing, Instruction/Training/Teaching, Library Services Administration)",Internship,"Not very relevant, employer was only interested in practical experience",Knowledge of collection development and cataloging,"Yes, Bentley Historical Library, Cranbrook Archives and the Henry Ford",Extremely,9,
229,MSI/HCI,Apr-09,"SAP Labs, India",User Experience,User Experience Intern,Professional Temporary - Full Time,Bangalore,Karnataka (India),Research,"Usability, Research","SI 682, 622",Extremely Relevant,"Project management, usability evaluation","Yes, Yahoo!, ProQuest",Extremely,4,
241,MSI/LIS,Apr-09,,Depaul University / College of Law,PhD Student,Continuing for a PhD,Chicago,IL,,Intellectual Property,My background in libraries and my overall degree led me to acceptance to a JD program which will focus on Intellectual Property,Very Relevant,,"Yes, UM Instructors College",Moderately,8,
261,MSI/HCI,May-09,University of Michigan,Michigan Institute of Clinical and Health Research,Business Analyst / Interaction Designer,Professional Permanent - Full Time,Ann Arbor,MI,"Computer: Software/Internet, Consulting, Consumer Products, Research, University/College","Business Analysis/Development, Website/Database/Information Systems Development, Usability","Project management, groupwork, usability and SI 682 and SI 622 strong communication",Very Relevant,"Project management, groupwork, usability and SI 682 and SI 622, strong communication","Yes, ICPSR (UM)",Neutral,8,
288,MSI/CI,Apr-09,Chelsea District Library/Westland Public Library,Adult Services,Reference Librarian,Professional Permanent - Full Time,Chelsea/Westland,MI,Library: Public,"Library Services (Youth/Adult Services, Catologing, Children's Services, Collection Development/Acquisition, Indexing, Instruction/Training/Teaching, Library Services Administration)","Internships, ASB (practical experience in library setting)","Somewhat relevant, covered theory useful in reference","CI courses and SI 665 (online searching), 620 (collection development), 624 (youth media)","Yes, Ypsilanti District Library and Hatcher Graduate Library Faculty Exploratory",Extremely,9,
303,PI,May-09,University of Michigan,School of Information,PhD Student,"Continuing for a PhD, University of Michigan School of Information",Ann Arbor,MI,University/College,Research,Did not answer,Extremely Relevant,Did not answer,"Yes, UM Copyright Office; University of Chicago Library; Iowa State University Library",Moderately,10 - Extremely Satisfied,
342,MSI/SC/ICD,May-09,"Amazon.com, Inc",Amazon Web Services,Software Development Engineer,Professional Permanent - Full Time,Seattle,WA,Computer: Software/Internet,Website/Database/Information Systems Development,"The skills that were most important in obtaining my current position were probably related to my undergraduate work and professional work before SI.  But my experience will help me advance further in my career, it gives me a unique perspective other software engineers many not have",Somewhat relevant,"My ICD coursework and research in IAR will definitely help me design better systems in this job and any future positions.  In addition, the focus on positive social change in SI has inspired me to join the Seattle Net Tuesday group.  This group may be useful to other SI graduates in that area still looking for employment: http://seattlenettuesday.ning.com","Yes, Amazon.com, Inc",Extremely,8,
347,MSI/HCI,Dec-09,Jstor,User Experience,User Experience Specialist,"Professional Temporary - Full Time (it's a contract to hire, which isn't covered in your options)",Ann Arbor,MI,Multimedia/Publishing,"Digital Preservation/Digital Asset Management/Information Preservation, Usability",622 682 eCommunities,Somewhat Relevant,Internships were the best thing. Networking contacts second best thing. Practical applicable knowledge third best.,"Yes, MAIS",Extremely,7,
354,MSI/HCI,Apr-09,Sears Holdings Corporation,N/A,User Experience Architect,Professional Permanent - Full Time,Chicago,IL,Consumer Products,Usability (Human Factors Research/Information Architecture/Evaluation Design),"SI 682, 658, 622 SOCHI design jams","Somewhat relevant, 682, 622, 658 were useful, others not so much","Interaction design, wireframing, usability testing and rapid prototyping","Yes, UM Digital Library Production Service and Harvard University Initiative for Innovate Computing",Moderately,6,
364,MSI/ARM,Apr-09,Iron Mountain,Consulting Services,Consultant,Professional Permanent - Full Time,Boston,MA,Consulting,"Consulting, Project Management, Records Preservation/Management","SISA, Client projects, records management education",Very relevant,"Records management education, ability to handle multiple client relationships","Yes, Ark Sound Grant Writing Project with Paul Conway and UM Social Work Library",Neutral,9,
371,MSI/ARM/ICD,Dec-09,High Monkey Consulting,N/A,Collaboration Consultant,Professional Permanent - Full Time,Minneapolis,MN,Consulting,"Business Analysis/Development, Consulting, Metadata & Taxonomy Creation/Management","PEP, RM courses","Very Relevant, I took a variety of classes that I think all contributed to my approach to my future job","SI 501, 502, 528, 655 will be helpful. Most of what I learned was on the job (which I got because I was an SI student primarily)","Yes, UM Rackham Graduate School",Extremely,9,
376,MSI/HCI,May-09,Lockheed Martin (Global CI),N/A,Usability Specialist (Interface Designer/Human Fac),Professional Permanent - Full Time,Baltimore,MD,Government,Usability (Human Factors Research/Information Architecture/Evaluation Design),All project work dealing with usability/user experience design/information architecture,Extremely Relevant,"Usability, Interface Design, Information Architecture","Yes, IBM",Extremely,9,
383,MSI/IPOL,May-09,University of Michigan,Library,Copyright Specialist,Professional Temporary - Full Time,Ann Arbor,MI,Library: Academic,Intellectual Property,,Somewhat relevant,,"Yes, Creative Commons",Extremely,8,
399,MSI/LIS/CI,Apr-09,University of Michigan ,Shapiro Graduate Library,Undergraduate Learning Librarian,Professional Permanent - Full Time,Ann Arbor,MI,Library: Academic,"Library Services (Youth/Adult Services, Cataloging, Children'ts Services, Collection Development/Acquisition, Indexing, Instruction/Training/Teaching, Library Services Administration)","Internship at the UGL.  Instruction, library programs and public services",Very relevant,"Community information studies, reference services, collection development, presentations, outcome-based evaluation.","Yes, UM Shapiro Undergraduate Library",Extremely,9,
403,HCI,Apr-09,Yahoo!,Yahoo! Open Social,Interaction Designer,Professional Permanent - Full Time,Sunnyvale,CA,Computer: Software/Internet,"Information Visualization, Usability (Human Factors Research/Information Architecture/Evaluation Design), and Project Management","Job related activities on campus outside of classes (research, part time job, participation in organizations), group projects, class projects/portfolio building activities",Very relevant,"Project Management, communicating design decisions, analytic thinking and research methodologies","Yes, Yahoo Inc",Extremely,9,
416,MSI/ARM,May-09,University of Michigan,William L. Clements Library,Assistant Curator of Books ,Professional Permanent - Full Time,Ann Arbor,MI,Library: Academic,"Library Services (Youth/Adult Services, Cataloging, Children's Services, Collection Development/Acquisition, Indexing, Instruction/Training/Teaching, Library Services Administration) and Archives/Conservation ","Internships, SI 666 and external cognate AMCULT 498",Extremely relevant,"Cataloging, reference, presentations, project management, research and writing","Yes, UM Special Collections",Extremely,10,
427,MSI/ARM/IPOL,Apr-09,Steelcase,,Assistant Archivist,Professional Permanent - Full Time,Grand Rapids,MI,,,,,,,,,
429,MSI/Tailored,May-09,University of Michigan,"Art, Architecture & Engineering Library",Engineering Librarian,Professional Permanent - Full Time,Ann Arbor,MI,Library: Academic,"Library Services (Youth/Adult Services, Cataloging, Children's Services, Collection Development/Acquisition, Indexing, Instruction/Training/Teaching, Library Services Administration)","Being a University Library Associate (having actual experience with reference work), having practical projects and team/group experiences to discuss.",Very relevant,"Team work, communication skills, knowing what the important goals are of an academic library (teaching information skills, providing research assistance, etc)","Yes, UM's AAEL as a ULA, also worked with Shannon Zachary for a semester in Preservation & Conservation",Extremely,9,
435,MSI/K-12 SLM,Apr-09,Alexandria City Public Schools,Library Media Department,Library Media Specialist,Professional Permanent - Full Time,Alexandria,VA,Library: K-12 School,"Library Services (Youth/Adult Services, Cataloging, Children's Services, Collection Development/Acquisition, Indexing, Instruction/Training/Teaching, Library Services Administration)",The school library management course taught by Marilyn Kiefer.  Cataloging with Karen Markey and my PEP Internship.,Very relevant,"Management, research, and web design","Yes, Cengage Gale",Extremely,8,
455,MSI/ARM,Apr-09,United States Army Garrison - West Point,Directorate of Human Resources,Supervisory Program Analyst,Professional Temporary - Full Time,West Point,NY,Government,"Digital Preservation/Digital Asset Management/Information Preservation, Website/Database/Information Systems Administration, Project Management, Records Preservation/Management",Records management coursework--PLEASE INCLUDE A LOT MORE OF THAT IN THE FUTURE,Somewhat relevant,Dealing with people I strongly dislike in a calm and rational manner,"Yes, Environmental Protection Agency",Moderately,1 - Extremly Unsatisfied,
492,MSI/HCI,Dec-09,Yahoo!,User Experience Design (UED),Internaction Designer,Professional Permanent - Full Time,Santa Clara,CA,Computer: Software/Internet,"Website/Database/Information Systems Developemtn, Information Visualization, Usability (Human Factors Research/Information Architecture/Evaluation Design), Incentive Centered Design, Multi Media Design, Product Development",,Very Relevant,"Designing or developing process with team members, in many SI courses, we do the teamwork. We have to explain and justify our own opinion to another team member with relevant reasons to develop it. We learn how to reflect other people's opinion in that process. I think I learned how to work in a team in SI and it is one of the most valuable things that I've got here.  - Problem solving skills: In the three onsite interview, I should solve many design problems as soon as I met the problem. I thought I could get these skills from Design Exercise session in Si 682 class. How fast we can come up with ideas, and how we can develop it in reliable solution were very important in the interviews.",Yes,Extremely,8,
497,MSI/ARM/PI,Apr-09,Library of Congress,Recorded Sound Section,Library Technician,Professional Permanent - Full Time,Culpeper,VA,Library: Government,"Library Services (Youth/Adult Services, Cataloging, Children's Services, Collection Development/Acquisition, Indexing, Instruction/Training/Teaching, Library Services Administration), Archives/Conservation and Digital Preservation/Digital Asset Management/Information Preservation","Internships/Jobs, AV-specific processing experience, Cataloging experience, and Coursework, particularly digital preservation coursework",Very relevant,Did not answer,"Yes, UM Map Library, UM Libraries Preservation Dept., UM School of Information (Dr. Paul Conway) and MSU Archives and Historical Collections",Extremely,9,
530,ARM/LIS,Apr-09,University of Michigan Medical School,Center for the History of Medicine,Digital Librarian,Professional Temporary - Full Time,Ann Arbor,MI,Library: Academic,"Archives/Conservation, Digital Preservation/Digital Asset Management/Information Preservation, Website/Database/Information Systems Development, Website/Database/Information Systems Administration, Metadata & Taxonomy Creation/Management, Project Management, and Research","Career Counseling events/lectures (i.e. How to interview for library jobs or Day in the Life ofð), meeting with career counselors, building professional network through courses/internships",Very relevant,"How to network, latest tools/theories/ideas about information work, problem solving for tomorrow's problems, how users approach/use information ","Yes, Dolph Briscoe center for American History, University of Texas-Austin",Extremely,8,
533,MSI/Tailored,Apr-09,University of Colorado - Boulder,University Libraries,Art & Architecture Librarian,Professional Permanent - Full Time,Boulder,CO,Library: Academic,"Library Services (Youth/Adult Services, cataloging, Children's services, collection development/acquisition, indexing, instruction/training/teaching, and library services administration) and research",My experiences as a ULA,"Somewhat relevant, Most relevant courses; 647, 620, 615, 633, 581 and 651",Project management,"Yes, ULA and AAEL; intern at the History of Art Visual Resources Collection, intern in the University Library Instructor College",Extremely,10 - Extremely Satisfied,
557,MSI/HCI,Apr-09,UM School of Information,,Independent Researcher,Professional Temp- Part Time,Ann Arbor,MI,,,,,,,,,
558,MSI/HCI,Dec-09,Cisco Systems,User Experience,Interaction Designer ,Professional Permanent - Full Time,San Jose,CA,Computer: Software/Internet,Usability (Human Factors Research/Information Architecture/Evaluation Design),Design jams organized by SOCHI; SI 682 & SI 622; side projects (like CHI design competition),"Somewhat Relevant; hit or miss, some were very useful, some were not at all","The language of the field (terms like agile development cycle, iterative prototyping), fundamental design & research methodologies (like everything from 682 & 622), and being in touch with latest tech trends as a natural result of being part of the SI community and skimming through the listservs","Yes, NASA Ames Research Center",Moderately,9,
598,MSI/LIS,Apr-09,Canton Public Library,,Adult Services Substitute,Professional Temporary- Part-Time,Canton,MI,,,,,,,,,
601,MSI/HCI,Dec-09,Fast Switch,,User Interface Designer,Professional Permanent- Full-Time,Dublin,OH,,,,,,,,,
611,MSI/HCI,May-09,"Adobe Systems, Inc",Experience Design Team,Experience Designer,Professional Permanent - Full Time,San Francisco,CA,Computer: Software/Internet,"Usability (Human Factors Research/Information Architecture/Evaluation Design), Research and Product Development",SI 682 and 622,Extremely relevant,"Contextual Inquiry, User Research, Usability Analysis, Cognitive Psychology (PSYCH 740)","Yes, Adobe Systems Inc",Extremely,8,
622,MSI/HCI/SC,Dec-09,Google,Ads User Experience,User Experience Researcher,Professional Permanent - Full Time,Mountain View,CA,Computer: Software/Internet,"Usability, Research, Statistical/Data Analysis","Attending the CHI conference (because of being in the Student Design competition through SI 682) is what led to this position. It was at the conference that I met David Choi, who referred me for the job and helped me get the first interview, and Molly Stevens, who will be my manager.",Extremely Relevant,"SI 622 is most valuable in terms of user experience research skills. The final report that we did where you have to describe what you would do in a specific situation in terms of research was the thing that is closest to real life. I was asked that question (what research methods would you use in this scenario?) in every interview I had. Otherwise, team skills and communication/project management/time management skills will likely prove to be the most valuable.","Yes, Two summer internships at TechSmith",Extremely,10 - Extremely Satisfied,
622,MSI/HCI/SC,Dec-09,University of Michigan,School of Information,Research Assistant,Professional Temporary - Full Time,Ann Arbor,MI,Research,"Website/Database/Information Systems Development, Usability (Human Factors Research/Information Architecture/Evaluation Design) and Research",Did not answer,Did not answer,Did not answer,"Yes, TechSmith (2 summers)",Extremely,8,
639,MSI/ARM/LIS,Apr-09,University of Michigan,International Institute,Systems Librarian & Archivist,Professional Temporary - Full Time,Ann Arbor,MI,University/College,Digital Preservation/Digital Asset Management/Information Preservation and Multi-Media Design,"Possibly my electronic records course.  I had to teach a lot of the stuff (especially websites/media) on my own, or on the job",Very relevant,How to process/organize information,"Yes, UM International Institute",Extremely,7,
647,MSI/ARM/MSP,Apr-09,NARA,Center for Legislative Archives,Intern,Professional Temporary - Full Time,Washington,DC,Government,"Archives/Conservation, Records Preservation Management and Research",Having the ALA accredited degree means more than any of the individual experiences,Very relevant,Archival theory and MSP practical experiences,"Yes, EPA and the Bentley",Moderately,6,
651,MSI/ARM/PI,Apr-09,National Archives and Records Administration,Textual Archives Services Division,Archices Technician,Professional Temporary - Full Time,College Park,MD,Government,"Archives/Conservation, Digital Preservation/Digital Asset Management/Information Preservation, Records Preservation/Management",Did not answer,Somewhat relevant,Did not answer,"Yes, National Archives and Records Administration South Carolina Political Collections",Extremely,4,
651,MSI/ARM/PO,Apr-09,National Archives and Records Administration,George W. Bush Presidential Library,Archivist,Professional Permanent - Full Time,Lewisville,TX,Government,Archives / Conservation,Did not answer,Very relevant,Did not answer,"Yes, ASB 2008, ASB 2009, South Carolina Political Collection, University of Michigan Press work - Gerald R. Ford Presidential Library volunteer - Bentley Historical Library",Extremely,10 - Extremely Satisfied,
652,MSI/IEMP/CI,Apr-09,Confidential,Department of Finance,Associate,Professional Permanent - Full Time,Grand Rapids,MI,"Computer: Hardware/Electronics, Healthcare and Telecommunications","Business Analysis/Development, E-Commerce/E-Marketing/Marketing/Competitive and Intelligence/Analysis",Everything is useful,Somewhat relevant,Team work and communication skill,"Yes, Evergreen Inc",Moderately,10 - Extremely Satisfied,
664,MSI/HCI,Apr-09,Laserfiche,,User Experience Designer,Professional Permanent - Full Time,Long Beach,CA,,,,,,,,,
675,MSI/HCI,Apr-09,CFA Institute,Interactive and External Relationships Division,Web Interaction Designer,Professional Permanent - Full Time,Charlottesville,VA,Nonprofit,"Website/Database/Information Systems Administration, E-Commerce/E-Marketing/Marketing/Competitive Intelligence/Analysis","SI 682, 622 Internship",Very relevant,"Usability Analysis, Interface and Interaction Design, Info Architecture","Yes, Kellogg Company",Moderately,8,
682,MSI/ARM,Dec-09,Ohio Historical Society,State Archives of Ohio,"Archivist I, Government Records",Professional Permanent - Full Time,Columbus ,OH,Museum/Historical Society,"Archives/Conservation, Records Preservation/Management",Appraisal and Access Systems Courses,Extremely Relevant,"Time management, presentation skills, knowledge of appraisal, knowledge of access systems","Yes, History of Art VRC",Minimally,8,
727,,,Infinity Primary Care,,Support Analyst,Professional Permanent - Full Time,,MI,,,,,,,,,
754,MSI/IEMP/ICD,Apr-09,SocialToaster,,Account Manager,Professional Permanent - Full Time,,,,,,,,,,,
756,MSI/HCI,Apr-09,Self-Employed,,User Experience Designer,Professional Temporary - Part Time,Seattle,WA,Computer: Software/Internet,"Consulting, Usability (Human Factors Research/Information Architecture/Evaluation Design), Interface Design","Evaluation of systems and services, information architecture, interface and interaction design","Very relevant, courses where you make things most relevant","Interface design, usability assessment, user testing","Yes, UM Women in Science & Engineering Program",Extremely,3,
809,MSI,Apr-09,Mercedes-Benz Technology,,Cooperation Partner,Professional Permanent- Full Time,Troy,MI,,,,,,,,,
825,MSI/SLM/LIS,Dec-09,Lake Orion Community Schools,Stadium Drive Elementary for the Arts,Long-term Substitute Library Media Specialist,Professional Temporary - Full Time,Lake Orion,MI,Library: K-12 School,Library Services,Student teaching experience,Somewhat relevant,Did not answer,"No, but I was a student teacher at Birmingham Groves High School in Birmingham, MI and Springfield Plains Elementary school in Clarkston, MI",Extremely,10 - Extremely Satisfied,
827,MSI/HCI,Apr-09,Sears Holdings,Did not answer,User Experience Architect,Professional Permanent - Full Time,Chicago,IL,Computer: Software/Internet,E-Commerce/E-Marketing/Marketing/Competitive and Intelligence/Analysis,Working in teams and producing project deliverables,Extremely Relevant,"Researching users, creating deliverables to show potential employers, working in teams","Yes, Lisa P. Maxwell, Sears Holding",Extremely,7,
837,MSI/LIS,Apr-09,University of Michigan,Shapiro Undergraduate Library,Undergraduate Learning Librarian,Professional Permanent - Full Time,Ann Arbor,MI,Library: Academic,"Library Services (Youth/Adult Services, Cataloging, Children's Services, Collection Development/Acquisition, Indexing, Instruction/Training/Teaching and Library Services Administration)",SI 647,Somewhat relevant,"Knowing how to find informatioon resources.  This is a teaching position, and I had already obtained a 7-12 teaching certification","Yes, UM Hatcher Graduate Library",Extremely,9,
842,MSI/IEMP,Apr-09,SourceForge Inc,,Software Designer,Professional Permanent - Full Time,Dexter,MI,"Biotechnology/Pharmaceuticals, Computer: Software/Internet",Website/Database/Information Systems Development,Prior Employment,Extremely Relevant,"Statistical analysis, online community development, recommender and reputation system design skills, User interface design skills","Yes, MSU",Minimally,8,
856,MSI/Tailored,Apr-09,University of Michigan Libraries,"Digital Conversion Unit, DLPS",Audio Digitization Specialist,Professional Temporary - Full Time,Ann Arbor,MI,Library: Academic,"Archives/Conservation, Digital Preservation/Digital Asset Management/Information Preservation","Internships were definitely paramount to getting the job!  The job was created out of a digital preservation internship I had, and created with me in mind.",Very relevant,Did not answer,"Yes, EMU, UM Library Preservation and Conservation, Bentley Historical Library (via Paul Conway grant-writing project)",Extremely,10 - Extremely Satisfied,
876,MSI/ARM,Apr-09,Jstor,,Production Librarian,Professional Permanent - Full Time,Ann Arbor,MI,,,,,,,,,
883,MSI/Tailored,May-09,General Electric,Aviation - IT,Information Management Leadership Program,Professional Permanent - Full Time,Cincinnati,OH,"Automotive/Transportation, Computer: Software/Internet, Consumer Products, Defense/Aerospace","Business Analysis/Development, Website/Database/Information Development, Website/Database/Information Systems Administration, E-Commerce/E-Marketing/Marketing/Competitive Intelligence/Analysis, Information Visualization, Usability, Incentive Centered Design, Project Management, Statistical/Data Analysis","The tailored specialization gave me a chance to attend a wide variety of courses in SI, CoE and the Business School",Very Relevant,"Project Management, Incentive-Centered Design","Yes, Dabur Inc, UMICHR",Neutral,8,
909,MSI/LIS/SLM,Apr-09,Plymouth Canton Community School District,East Middle School,Library Media Specialist,Professional Permanent- Full Time,Plymouth,MI,Library: K-12 School,"Library Services (Youth/Adult Services, Cataloging, Children's Services, Collection Development/Acquisition, Indexing, Instruction/Training/Teaching and Library Services Administration)",Did not answer,Extremely Relevant,Did not answer,No,Did not answer,10 - Extremely Satisfied,
910,MSI/ICD,Apr-09,LittlePinch,,President,Professional Permanent - Full Time,,,Retail,,,,,,,,
914,MSI/HCI,Apr-09,University of Michigan,IRLEE,Research Associate,Professional Permanent - Part Time/Professional Temporary - Part Time,Ann Arbor,MI,Consulting,"Consulting, Project Management, and Research","Contextual inquiry, team/group work, networking, project management tools (GANTT charts, etc)",Very relevant,See 22,"Yes, UM Museum of Paleontology (short 2 credit internship)",Moderately,4,
916,MSI/HCI,Dec-09,VoyageurWeb,,User Interface Designer/Developer,Professional Permanent - Full Time,Mankato,MN,,,,,,,,,
936,MSI/ARM,Apr-09,"The Winthrop Group, Inc",Information and Archival Services,Archivist,Professional Permanent - Full Time,Morton Grove,IL,Consumer Products,Archives/Conservation and Consulting,"The PEP credits and internships available through SI were definitely the most helpful, along with the array of ARM courses",Very relevant,"Networking, archival processing, multi-tasking, ability to work on group projects, etc","Yes, The Coca Cola Company, Heritage Communications Department (Archives)",Extremely,8,
958,MSI/HCI,Apr-09,UM Ctools ,Sakai Project,Support Consultant & QA Tester,Professional Permanent - Full Time,Ann Arbor,MI,,,,,,,,,
968,MSI/K-12 SLM,Dec-09,Hawken School,,Upper School Librarian,Professional Permanent - Full Time,Cleveland,OH,Library: K-12 School,Library Services,"The internship, volunteer, and student teaching experiences (in other words, all of the practical, hands-on opportunities) were most valuable to me, as they were most impressive in my e-Portfolio, and gave me the ability to provide examples in my interviews.",Very Relevant,"Collection development, cataloging, and lesson planning are all integral to the position that I will be starting.","Yes, Public Library Associate at Ann Arbor District Library (Youth Services), Student Teaching at Beverly Elementary in Birmingham, MI and at International Academy in Bloomfield Hills, MI.",Extremely,9,
971,MSI/SLM,Dec-09,Alaska Geographic,,Vendor,Professional Permanent- Full Time,,AK,,Managing and operating a portion of the non-profit organization which provides educational programs for National Park visitors.,,,,,,,
992,MSI/ICD,Apr-09,Compuware,,Online Marketing Analyst & Architect,Professional Permanent - Full Time,Detroit,MI,,,,,,,,,
1009,MSI/HCI/SC,May-09,Oracle,User Experience,Interaction Design Intern,Professional Temporary - Full Time,Redwood Shores,CA,Computer: Software/Internet,Research,All HCI and Social Computing courses,Extremely Relevant,All HCI and SC courses,"Yes, UM Library",Not at all,7,
1018,MSI/IAR,Dec-08,Alexandria Investment Research and Technology,Did not answer,System Analyst,Professional Permanent - Full Time,Los Angeles,CA,"Computer: Software/Internet, Research","Website/Database/Information Systems Development, Information Visualization, Research, Search & Retrieval and Statistical/Data Analysis",Did not answer,Very relevant,Did not answer,Yes,Moderately,7,
1063,MSI/HCI,Apr-09,ForeSee Results,Usability,Usability Auditor,Professional Permanent - Full Time,Ann Arbor,MI,Computer: Software/Internet,Usability (Human Factors Research /Information Architecture/Evaluation Design),Work ethic,Extremely Relevant,"Contextual Inquiry, Project Management","Yes, Belkin",Neutral,10 - Extremely Satisfied,
1076,MSI/ARM,Apr-09,University of Michigan,ICPSR,Digital Preservation Projects Coordinator,Professional Temporary - Full Time,Ann Arbor,MI,University/College,"Digital Preservation/Digital Asset Management/Information Preservation, Project Management, Records Preservation/Management",The internship I completed during the summer between my first and second year directly led to this position,Somewhat relevant,"Knowledge of digital preservation and basic archival skills, technology skills","Yes, ICPSR Bentley Historical Library",Extremely,9,
1077,MSI/ICD,Dec-09,Syntel Inc,IT Consulting,Business Architect,Professional Permanent - Full Time,Phoenix,AZ,Consulting,"Business Analysis/Development, Consulting","All ICD courses especially Information Economics, E-Commerce and Contracting and signaling",Somewhat Relevant,"The projects, team work, and practical assignments","Yes, Deloitte & Touche",Extremely,8,
