alumni_id,organization,job_title,job_category,industry,background,background_category,job_category_id,background_category_id
1104,Dickinson State University,Archivist,Coordinator & Archivist,Museum,Art,Arts & Design,13,3
1105,Earlham College,Archivist,"Archivist, Assistant ",University,Art,Arts & Design,13,3
1121,United States House of Representatives,Researcher,Research Assistant,Government,Education,Humanities,15,0
1122,Microsoft,Product Manager,Program Manager,Computer,Education,Humanities,11,0
1143,University of Michigan,IT,Senior Network Administrator,University,Architecture,Arts & Design,9,3
1145,American Library Association,Policy Analyst,Information Techology Policy Analyst,Government,Architecture,Arts & Design,17,3
1149,Clements Library,Archivist,Project Archivist,University,Education,Humanities,13,0
1151,Booz Allen Hamilton,Consultant,Tier 1 Consultant,Corporate,Education,Humanities,16,0
1155,Baker University,Librarian,Librarian - Electronic Services / Government Documents,Library,Architecture,Arts & Design,10,3
1166,Federal Reserve Bank of San Francisco,UX Developer,Web Developer,Financial,Economics,Social Science,14,1
1187,Thunderdome Media,UX Designer,Web / Graphic Designer,Sales,Political Science,Social Science,1,1
1192,Capital One,Analyst,Systems Business Analyst,Financial,Economics,Social Science,7,1
1195,Lockheed Martin,UX Designer,Usability Specialist,Corporate,English,Humanities,1,0
1209,"Fuzzy Math, LLC",Interaction Designer,Interaction Designer,Computer,Political Science,Social Science,18,1
1232,Yahoo!,Interaction Designer,Interaction Designer - Mobile,Corporate,Architecture,Arts & Design,18,3
1236,Johns Hopkins University,Archivist,Digital Archivist,University,Economics,Social Science,13,1
1237,National Archives and Records Administration,Archivist,Archives Technician,Government,Economics,Social Science,13,1
1243,University of Michigan,Researcher,Research Assistant,Computer,Economics,Social Science,15,1
1245,University of Michigan,Librarian,"Librarian, Associate",Library,Economics,Social Science,10,1
1255,IRS,Librarian,Librarian,Library,IMS,Science & Math,10,2
1622,Google,UX Researcher,User Experience Researcher,Computer,Political Science,Social Science,0,1
1651,National Archives and Records Administration,Archivist,Archivist,Government,Political Science,Social Science,13,1
